time (UTC),air_pressure_at_mean_sea_level (Pa),air_temperature (K),sea_surface_wave_period_at_variance_spectral_density_maximum (s),surface_downwelling_shortwave_flux_in_air (W m-2),relative_humidity (1),sea_surface_wave_significant_height (m),sea_surface_wave_from_direction (degree),wind_from_direction (degree),wind_speed (m s-1),sea_water_temperature_1 (K),sea_water_temperature_2 (K),sea_water_temperature_3 (K),sea_water_temperature_4 (K),sea_water_temperature_5 (K),sea_water_temperature_6 (K),sea_water_temperature_7 (K),sea_water_temperature_8 (K),sea_water_temperature_9 (K),sea_water_temperature_10 (K),sea_water_temperature_11 (K),sea_water_temperature_12 (K),mass_concentration_of_oxygen_in_sea_water (kg m-3),fractional_saturation_of_oxygen_in_sea_water (1),sea_water_specific_conductivity (Unknown),sea_water_temperature_13 (K),sea_water_temperature_14 (K),platform
2025-05-27T21:20:00Z,100420,287.65,1.82,191.1,75.3,0.124,52.6,53.7,2.6,285.025,284.339,282.879,281.968,281.674,281.321,281.247,281.217,281.095,281.073,281.091,281.008,0.01184,98.64,0.02768,280.61,280.565,1
2025-05-27T21:30:00Z,100420,287.55,1.82,160.2,76.4,0.124,52.6,58,2.8,285.067,284.433,282.796,281.956,281.721,281.239,281.243,281.237,281.138,281.095,281.091,280.946,0.01185,98.7,0.02768,280.598,280.554,1
2025-05-27T21:40:00Z,100410,287.55,1.7,135,76.2,0.116,34.9,65.1,3.2,284.898,284.332,282.796,281.952,281.702,281.222,281.233,281.234,281.175,281.145,281.1,280.996,0.01184,98.64,0.02768,280.616,280.563,1
2025-05-27T21:50:00Z,100400,287.45,1.7,121.4,76.6,0.116,34.9,66.2,3.1,284.786,284.168,282.602,281.958,281.688,281.228,281.229,281.224,281.182,281.13,281.105,281.001,0.01185,98.69,0.02768,280.626,280.558,1
2025-05-27T22:00:00Z,100390,287.45,1.6,104.8,76.5,0.115,41.5,71.3,2.8,284.921,284.256,282.541,281.989,281.688,281.229,281.221,281.214,281.175,281.167,281.107,281.031,0.01184,98.66,0.02768,280.64,280.567,1
2025-05-27T22:10:00Z,100370,287.55,1.6,113.9,76,0.115,41.5,67.6,3.2,284.999,284.119,282.617,281.991,281.699,281.203,281.217,281.211,281.164,281.158,281.085,280.67,0.01187,98.81,0.02768,280.587,280.533,1
2025-05-27T22:20:00Z,100350,287.55,1.69,127,74.8,0.101,56.3,69.1,3.4,285.042,284.54,282.739,282.074,281.732,281.246,281.211,281.197,281.154,281.183,281.114,280.92,0.01185,98.74,0.02768,280.632,280.572,1
2025-05-27T22:30:00Z,100360,287.75,1.69,116.9,73,0.101,56.3,76.1,3.1,284.931,284.463,282.566,282.005,281.706,281.227,281.205,281.194,281.147,281.173,281.125,280.801,0.01187,98.86,0.02768,280.611,280.56,1
2025-05-27T22:40:00Z,100350,287.75,3.5,116.2,73.8,0.116,33.4,79.9,3.2,284.889,284.394,282.417,281.964,281.648,281.222,281.198,281.179,281.13,281.164,281.078,280.791,0.01185,98.78,0.02768,280.625,280.586,1
2025-05-27T22:50:00Z,100330,287.85,3.5,106.1,73.4,0.116,33.4,91.8,3.1,284.811,284.413,282.732,281.975,281.622,281.235,281.195,281.164,281.12,281.142,281.088,280.804,0.01185,98.76,0.02768,280.634,280.594,1
2025-05-27T23:00:00Z,100320,287.75,1.65,103.6,74.2,0.097,54.7,83.5,3,284.86,284.378,282.689,281.945,281.636,281.202,281.194,281.184,281.118,281.14,281.124,280.764,0.01185,98.76,0.02768,280.635,280.597,1
2025-05-27T23:10:00Z,100320,287.75,1.65,91,74.4,0.097,54.7,109.9,2.2,284.872,284.28,282.572,281.992,281.671,281.139,281.191,281.186,281.14,281.159,281.088,280.697,0.01185,98.73,0.02768,280.634,280.585,1
2025-05-27T23:20:00Z,100320,288.55,1.63,86,70.8,0.1,46,99.8,2,284.866,284.325,282.609,282.009,281.654,281.141,281.192,281.186,281.137,281.164,281.148,280.705,0.01183,98.64,0.02768,280.662,280.603,1
2025-05-27T23:30:00Z,100340,288.75,1.63,76.7,67.5,0.1,46,123.2,2.1,284.87,283.928,282.387,281.964,281.407,281.134,281.191,281.177,281.126,281.152,280.973,280.697,0.01188,98.6,0.02767,280.605,280.398,1
2025-05-27T23:40:00Z,100320,289.15,1.49,52.3,66.2,0.09,37.9,138.2,2.1,284.899,284.389,282.636,282.008,281.618,281.134,281.188,281.171,281.12,281.145,281.099,280.729,0.01182,98.65,0.02768,280.675,280.641,1
2025-05-27T23:50:00Z,100310,287.75,1.49,45.8,77,0.09,37.9,137.7,1.7,284.912,284.439,282.441,281.986,281.412,281.133,281.187,281.167,281.116,281.136,280.947,280.706,0.0119,98.87,0.02768,280.623,280.465,1
2025-05-28T00:00:00Z,100310,287.65,1.44,45.2,78.8,0.073,38.3,102.7,1.1,284.939,284.397,282.444,281.969,281.422,281.129,281.185,281.162,281.118,281.137,280.761,280.664,0.012,98.84,0.02771,280.406,280.11,1
2025-05-28T00:10:00Z,100320,287.55,1.44,29.8,78.7,0.073,38.3,104.3,1.7,284.935,284.354,282.354,281.963,281.633,281.133,281.19,281.167,281.118,281.154,281.066,280.723,0.01183,98.69,0.02768,280.633,280.611,1
2025-05-28T00:20:00Z,100310,287.65,1.42,23.9,79.5,0.056,67.9,100.4,1,284.954,284.466,282.188,281.893,281.716,281.132,281.19,281.174,281.121,281.154,281.113,280.734,0.01183,98.64,0.02768,280.654,280.609,1
2025-05-28T00:30:00Z,100310,287.45,1.42,21.8,81.9,0.056,67.9,70.6,1.1,284.95,284.194,282.073,281.759,281.512,281.333,281.189,281.179,281.119,281.137,280.923,280.695,0.01189,98.96,0.02768,280.592,280.524,1
2025-05-28T00:40:00Z,100310,287.35,1.38,8.8,82.3,0.048,65.1,74.9,1.3,284.947,284.141,282.104,281.766,281.407,281.332,281.189,281.167,281.116,281.146,281.031,280.716,0.01184,98.73,0.02768,280.637,280.604,1
2025-05-28T00:50:00Z,100300,287.05,1.38,2.8,83.9,0.048,65.1,63.3,1.5,284.956,284.218,282.117,281.777,281.491,281.353,281.19,281.176,281.116,281.149,281.125,280.749,0.01183,98.7,0.02768,280.66,280.624,1
2025-05-28T01:00:00Z,100290,287.15,1.43,0,84.4,0.041,68.2,76.8,1.7,284.991,284.405,282.113,281.812,281.473,281.289,281.189,281.176,281.114,281.147,281.037,280.736,0.01185,98.79,0.02768,280.652,280.594,1
2025-05-28T01:10:00Z,100300,287.35,1.43,0,82.3,0.041,68.2,91.4,1.6,285.026,284.545,282.214,281.838,281.505,281.339,281.188,281.173,281.113,281.144,281.065,280.747,0.01183,98.7,0.02768,280.663,280.623,1
2025-05-28T01:20:00Z,100300,287.25,1.43,0,83.1,0.038,73,110.5,2,285.015,284.198,282.119,281.639,281.492,281.331,281.21,281.174,281.11,281.142,281.083,280.768,0.01183,98.72,0.02768,280.682,280.63,1
2025-05-28T01:30:00Z,100290,287.25,1.43,0,82.9,0.038,73,113.5,1.6,285.058,284.475,282.263,281.823,281.516,281.311,281.194,281.177,281.11,281.146,281.092,280.768,0.01185,98.8,0.02768,280.676,280.608,1
2025-05-28T01:40:00Z,100300,287.95,4.12,0,79.4,0.035,88.6,140.9,1.5,285.113,284.619,282.152,281.79,281.503,281.296,281.26,281.175,281.113,281.141,280.971,280.73,0.01186,98.84,0.02768,280.647,280.579,1
2025-05-28T01:50:00Z,100290,287.65,4.12,0,81.6,0.035,88.6,130.2,1.3,285.227,284.662,282.198,281.873,281.547,281.288,281.295,281.181,281.12,281.146,281.035,280.776,0.01186,98.89,0.02768,280.668,280.62,1
2025-05-28T02:00:00Z,100300,287.25,4.24,0,85,0.031,148.6,47.2,1.5,285.265,284.767,282.247,281.735,281.361,281.278,281.31,281.173,281.124,281.144,280.948,280.723,0.01185,98.86,0.02768,280.679,280.628,1
2025-05-28T02:10:00Z,100310,287.45,4.24,0,82,0.031,148.6,101.7,2,285.164,284.735,282.259,281.9,281.606,281.306,281.303,281.178,281.127,281.149,281.014,280.737,0.01185,98.92,0.02768,280.678,280.634,1
2025-05-28T02:20:00Z,100310,287.65,4.3,0,80.4,0.029,125.4,108.2,2.2,285.273,284.778,282.278,281.912,281.617,281.329,281.32,281.174,281.133,281.15,281.033,280.774,0.01184,98.81,0.02768,280.698,280.652,1
2025-05-28T02:30:00Z,100320,287.85,4.3,0,78.1,0.029,125.4,100.4,1.6,285.383,284.829,282.265,281.896,281.628,281.302,281.29,281.175,281.134,281.142,281.029,280.773,0.01185,98.86,0.02768,280.698,280.645,1
2025-05-28T02:40:00Z,100320,288.35,1.5,0,74.3,0.03,118.1,145.5,2.1,285.344,284.586,282.204,281.84,281.606,281.287,281.277,281.176,281.134,281.135,280.972,280.751,0.01185,98.89,0.02768,280.693,280.643,1
2025-05-28T02:50:00Z,100320,289.85,1.5,0,67.3,0.03,118.1,138.1,3.2,285.344,284.573,282.183,281.864,281.683,281.282,281.247,281.176,281.135,281.125,280.99,280.769,0.01186,98.94,0.02768,280.691,280.643,1
2025-05-28T03:00:00Z,100310,288.05,1.69,0,77,0.031,128.4,156.3,3.4,285.417,284.948,282.396,281.963,281.706,281.293,281.298,281.249,281.131,281.16,281.04,280.773,0.01185,98.95,0.02768,280.697,280.65,1
2025-05-28T03:10:00Z,100300,288.65,1.69,0,74.1,0.031,128.4,149.8,3.6,285.355,284.751,282.283,281.908,281.739,281.291,281.298,281.279,281.128,281.164,281.058,280.775,0.01184,98.87,0.02768,280.722,280.654,1
2025-05-28T03:20:00Z,100320,288.25,1.89,0,77.9,0.097,141.6,177,4.1,285.266,284.714,282.267,281.927,281.723,281.291,281.3,281.268,281.128,281.147,281.056,280.761,0.01186,98.95,0.02768,280.699,280.639,1
2025-05-28T03:30:00Z,100340,288.55,1.89,0,73.5,0.097,141.6,189.6,5.4,285.25,284.526,282.243,281.901,281.714,281.281,281.297,281.295,281.122,281.157,281.045,280.764,0.01183,98.82,0.02768,280.719,280.67,1
2025-05-28T03:40:00Z,100330,288.15,1.85,0,77.3,0.157,127.7,198,5.2,285.228,284.658,282.354,281.971,281.72,281.292,281.304,281.295,281.118,281.153,281.066,280.752,0.01185,98.93,0.02768,280.71,280.662,1
2025-05-28T03:50:00Z,100330,288.15,1.85,0,76.6,0.157,127.7,197,6.5,285.163,284.588,282.309,281.934,281.743,281.409,281.301,281.302,281.119,281.147,281.106,280.747,0.01186,99,0.02768,280.701,280.654,1
2025-05-28T04:00:00Z,100340,287.95,1.72,0,77.2,0.171,128,199.7,6.2,285.191,284.991,283.757,281.982,281.778,281.509,281.312,281.304,281.127,281.14,281.155,280.833,0.01186,99.02,0.02768,280.708,280.664,1
2025-05-28T04:10:00Z,100330,288.25,1.72,0,73.5,0.171,128,193.7,6.3,285.071,285.002,283.543,282.041,281.783,281.456,281.317,281.306,281.12,281.134,281.148,280.748,0.01187,99.08,0.02768,280.693,280.645,1
2025-05-28T04:20:00Z,100330,287.95,1.74,0,75.3,0.217,138.9,192.9,5.5,285.052,284.775,283.51,281.938,281.773,281.408,281.31,281.303,281.116,281.125,281.141,280.735,0.01187,99.05,0.02768,280.678,280.626,1
2025-05-28T04:30:00Z,100340,287.65,1.74,0,76.2,0.217,138.9,184.3,4.5,285.008,284.811,283.58,281.956,281.787,281.416,281.314,281.305,281.123,281.122,281.141,280.81,0.01187,99.06,0.02767,280.683,280.629,1
2025-05-28T04:40:00Z,100350,287.85,2.02,0,75.1,0.245,150.2,180.7,3.1,285.002,284.864,283.449,281.952,281.795,281.397,281.32,281.306,281.113,281.121,281.14,280.799,0.01187,99.05,0.02768,280.684,280.633,1
2025-05-28T04:50:00Z,100340,287.65,2.02,0,74.7,0.245,150.2,177.4,3.9,284.962,284.729,283.992,281.991,281.8,281.409,281.317,281.306,281.109,281.116,281.132,280.743,0.01188,99.1,0.02768,280.673,280.622,1
2025-05-28T05:00:00Z,100330,287.65,2.14,0,76.1,0.231,162.7,169.7,2.6,284.97,284.615,283.124,281.923,281.79,281.362,281.321,281.282,281.097,281.112,281.111,280.874,0.01187,99.05,0.02768,280.689,280.651,1
2025-05-28T05:10:00Z,100330,287.55,2.14,0,75.8,0.231,162.7,153,3.5,284.931,284.655,283.62,281.984,281.807,281.389,281.327,281.2,281.093,281.108,281.107,280.857,0.01187,99.04,0.02768,280.698,280.634,1
2025-05-28T05:20:00Z,100330,287.35,2.05,0,74.4,0.181,165,129.6,4.6,284.915,284.506,283.328,282.024,281.822,281.537,281.336,281.216,281.093,281.104,281.091,280.769,0.01188,99.1,0.02768,280.675,280.631,1
2025-05-28T05:30:00Z,100310,287.65,2.05,0,73.7,0.181,165,134.5,4.6,284.943,284.769,283.455,282.053,281.834,281.727,281.345,281.297,281.107,281.109,281.117,280.954,0.0119,99.55,0.02767,280.741,280.732,1
2025-05-28T05:40:00Z,100320,287.85,2.24,0,71.8,0.173,166.8,114.3,5.4,284.917,284.615,283.234,282.102,281.807,281.656,281.356,281.304,281.106,281.11,281.111,280.938,0.0119,99.42,0.02768,280.762,280.695,1
2025-05-28T05:50:00Z,100300,287.65,2.88,0,72.7,0.274,175.5,141.9,5,284.915,284.625,283.471,282.132,281.833,281.739,281.375,281.301,281.103,281.11,281.106,280.93,0.01192,99.68,0.02767,280.806,280.737,1
2025-05-28T06:00:00Z,100280,287.95,2.88,0,70.1,0.274,175.5,168.9,8,284.905,284.511,283.222,282.145,281.845,281.686,281.368,281.295,281.101,281.103,281.096,280.903,0.01192,99.58,0.02767,280.742,280.684,1
2025-05-28T06:10:00Z,100280,287.55,2.79,0,73.9,0.468,155.4,163.1,5.2,284.894,284.55,283.265,282.177,281.891,281.807,281.443,281.302,281.103,281.104,281.089,280.904,0.01192,99.65,0.02767,280.783,280.723,1
2025-05-28T06:20:00Z,100290,287.45,2.79,0,74.2,0.468,155.4,153.7,5.3,284.895,284.593,283.009,282.016,281.856,281.659,281.355,281.272,281.1,281.097,281.034,280.799,0.01189,99.21,0.02768,280.686,280.64,1
2025-05-28T06:30:00Z,100280,287.65,2.41,0,72.3,0.332,150.4,148.9,5.3,284.841,284.382,283.009,282.021,281.875,281.705,281.381,281.281,281.099,281.087,281.024,280.822,0.0119,99.39,0.02768,280.712,280.657,1
2025-05-28T06:40:00Z,100270,287.65,2.41,0,71.6,0.332,150.4,129.6,6.5,284.82,284.695,282.976,282.078,281.881,281.815,281.519,281.29,281.1,281.086,281.015,280.825,0.01192,99.47,0.02768,280.697,280.651,1
2025-05-28T06:50:00Z,100240,288.15,2.33,0,66.3,0.292,134.5,163.5,7,284.841,284.628,283.455,282.113,281.871,281.804,281.516,281.294,281.102,281.095,281.037,280.819,0.01193,99.68,0.02767,280.693,280.682,1
2025-05-28T07:00:00Z,100250,287.65,2.33,0,70.8,0.292,134.5,139.8,5.3,284.848,284.525,283.396,282.186,281.885,281.796,281.529,281.295,281.101,281.089,281.008,280.799,0.01192,99.46,0.02768,280.659,280.619,1
2025-05-28T07:10:00Z,100240,287.75,2.13,0,71.8,0.316,119.8,140.2,5,284.844,284.393,283.724,282.082,281.891,281.765,281.421,281.275,281.082,281.08,280.978,280.738,0.01193,99.47,0.02768,280.638,280.593,1
2025-05-28T07:20:00Z,100250,287.35,2.13,0,73.1,0.316,119.8,142.2,4.9,284.844,284.643,283.733,282.172,281.93,281.857,281.564,281.285,281.095,281.087,280.993,280.762,0.01193,99.45,0.02768,280.648,280.598,1
2025-05-28T07:30:00Z,100260,287.45,2.16,0,71.8,0.271,112.7,141,4.2,284.791,284.584,283.722,282.169,281.93,281.832,281.558,281.278,281.09,281.08,280.95,280.715,0.01194,99.45,0.02768,280.622,280.576,1
2025-05-28T07:40:00Z,100250,287.05,2.16,0,77.3,0.271,112.7,145.7,5.1,284.871,284.581,283.652,282.218,281.936,281.834,281.552,281.273,281.072,281.08,280.869,280.71,0.01195,99.48,0.02769,280.625,280.555,1
2025-05-28T07:50:00Z,100230,286.85,2.18,0,77,0.239,100.7,136.7,3.9,284.864,284.68,283.816,282.308,281.955,281.84,281.597,281.28,281.066,281.064,280.84,280.68,0.01196,99.57,0.02769,280.58,280.529,1
2025-05-28T08:00:00Z,100240,287.05,2.18,0,74.1,0.239,100.7,142.8,5.1,284.858,284.746,283.949,282.487,282.004,281.884,281.713,281.311,281.089,281.062,280.85,280.693,0.01196,99.54,0.02769,280.578,280.532,1
2025-05-28T08:10:00Z,100230,286.65,2.22,0,79.7,0.206,92.3,136.5,3.7,284.905,284.835,283.793,282.469,282.045,281.898,281.812,281.34,281.088,281.052,280.872,280.677,0.01199,99.73,0.02769,280.557,280.495,1
2025-05-28T08:20:00Z,100220,287.15,2.22,0,73.6,0.206,92.3,138.1,3.5,284.942,284.866,283.597,282.423,282.042,281.903,281.83,281.383,281.127,281.062,280.824,280.662,0.01204,99.99,0.02769,280.486,280.463,1
2025-05-28T08:30:00Z,100190,287.15,2.28,0,73.3,0.194,88,121,4.7,284.984,284.873,283.697,282.27,282.03,281.914,281.841,281.466,281.174,281.057,280.862,280.684,0.01195,99.49,0.02769,280.589,280.555,1
2025-05-28T08:40:00Z,100170,287.25,2.28,0,69.8,0.194,88,145.5,6.6,284.99,284.872,284.583,282.495,282.043,281.933,281.894,281.553,281.202,281.063,280.887,280.692,0.01193,99.32,0.02768,280.606,280.557,1
2025-05-28T08:50:00Z,100180,287.05,2.24,0,73.4,0.222,85,146.2,4.9,284.993,284.949,284.509,282.448,282.016,281.93,281.894,281.511,281.171,281.039,280.832,280.671,0.01194,99.38,0.02768,280.539,280.521,1
2025-05-28T09:00:00Z,100170,287.15,2.24,0,69.3,0.222,85,135.3,5.3,284.981,284.878,284.752,282.478,281.988,281.924,281.898,281.486,281.16,281.03,280.814,280.665,0.01195,99.32,0.02768,280.533,280.471,1
2025-05-28T09:10:00Z,100150,287.15,2.34,0,72.4,0.234,79.3,130.7,7.3,285.016,284.837,284.396,282.224,281.949,281.91,281.839,281.441,281.126,281.021,280.808,280.65,0.01196,99.41,0.02769,280.513,280.462,1
2025-05-28T09:20:00Z,100140,286.85,2.34,0,73.7,0.234,79.3,131.4,5.3,285.041,284.889,284.332,282.323,281.933,281.89,281.86,281.473,281.041,280.89,280.78,280.63,0.01198,99.53,0.02769,280.486,280.45,1
2025-05-28T09:30:00Z,100130,286.85,2.33,0,75.7,0.244,78.3,133.5,4.9,285.041,284.858,284.537,282.636,281.901,281.86,281.817,281.471,281.093,280.908,280.773,280.609,0.01197,99.39,0.02769,280.479,280.428,1
2025-05-28T09:40:00Z,100140,286.75,2.33,1.7,75.5,0.244,78.3,124.6,4.4,285.054,284.992,284.573,282.826,281.88,281.848,281.788,281.317,280.995,280.86,280.735,280.566,0.01198,99.37,0.02769,280.447,280.409,1
2025-05-28T09:50:00Z,100160,286.75,2.31,5,76.4,0.24,77.8,122.9,3.8,285.046,284.875,284.16,282.423,281.865,281.826,281.77,281.363,281.002,280.891,280.712,280.545,0.01198,99.36,0.02769,280.447,280.4,1
2025-05-28T10:00:00Z,100160,286.75,2.31,5.9,76,0.24,77.8,105.6,4.5,285.058,284.977,284.351,282.657,281.902,281.811,281.735,281.33,281.012,280.822,280.681,280.499,0.01198,99.38,0.02769,280.448,280.403,1
2025-05-28T10:10:00Z,100150,286.55,2.24,11.5,78.2,0.217,78,119.9,4.1,285.058,284.962,284.428,282.848,281.883,281.796,281.679,281.269,280.998,280.828,280.66,280.496,0.01197,99.35,0.02769,280.459,280.408,1
2025-05-28T10:20:00Z,100150,286.55,2.24,15.4,78.2,0.217,78,104.3,4.3,285.056,284.857,284.175,282.744,281.916,281.784,281.695,281.247,280.935,280.783,280.575,280.497,0.01198,99.36,0.02769,280.452,280.408,1
2025-05-28T10:30:00Z,100150,286.45,2.33,27.9,77.6,0.218,79.2,99.3,4.9,285.039,284.892,284.312,282.823,281.984,281.824,281.736,281.27,280.882,280.78,280.613,280.506,0.01197,99.31,0.02769,280.465,280.42,1
2025-05-28T10:40:00Z,100150,286.45,2.33,43,76.8,0.218,79.2,97.7,5.4,285.028,284.898,284.374,282.993,282.035,281.829,281.728,281.357,280.926,280.799,280.625,280.51,0.01198,99.48,0.02769,280.474,280.428,1
2025-05-28T10:50:00Z,100140,286.45,2.23,62.3,77.5,0.223,77.3,99.1,5.1,285.025,284.887,284.29,282.88,281.973,281.81,281.728,281.326,280.914,280.789,280.632,280.51,0.01198,99.45,0.02769,280.475,280.424,1
2025-05-28T11:00:00Z,100140,286.45,2.23,63,78.7,0.223,77.3,82.5,5.7,285.035,284.985,284.47,283.08,282.199,281.797,281.742,281.273,280.89,280.783,280.614,280.511,0.01197,99.33,0.02769,280.472,280.425,1
2025-05-28T11:10:00Z,100150,286.45,2.4,70,78.8,0.279,74.8,107.8,4.9,285.005,284.949,284.435,282.826,282.026,281.751,281.605,281.177,280.883,280.74,280.593,280.511,0.01198,99.42,0.02769,280.475,280.426,1
2025-05-28T11:20:00Z,100150,286.45,2.4,86.6,79.8,0.279,74.8,120.2,6.3,285.013,284.877,284.532,283.271,282.161,281.756,281.626,281.274,280.907,280.781,280.604,280.511,0.01196,99.31,0.02769,280.473,280.425,1
2025-05-28T11:30:00Z,100150,286.35,2.55,119.4,79.5,0.292,72.9,116.6,5.5,284.995,284.906,284.338,282.962,282.138,281.737,281.577,281.103,280.857,280.708,280.552,280.509,0.01203,99.68,0.02769,280.457,280.367,1
2025-05-28T11:40:00Z,100140,286.45,2.55,98.9,79.1,0.292,72.9,115.8,5.8,284.97,284.873,284.233,282.82,281.956,281.697,281.468,281.032,280.806,280.664,280.542,280.477,0.01206,99.47,0.0277,280.254,280.159,1
2025-05-28T11:50:00Z,100150,286.35,2.53,84.4,80.6,0.291,67.8,111,6.8,284.967,284.917,284.212,282.761,281.838,281.652,281.466,281.01,280.817,280.679,280.552,280.464,0.01206,99.5,0.0277,280.212,280.164,1
2025-05-28T12:00:00Z,100150,286.75,2.53,126.4,77.6,0.291,67.8,143.8,5.7,284.958,284.876,284.452,282.867,281.924,281.639,281.488,280.991,280.83,280.677,280.542,280.44,0.01207,99.45,0.0277,280.191,280.129,1
2025-05-28T12:10:00Z,100150,286.75,2.65,117.3,78.4,0.288,65.1,114.8,5.1,284.945,284.899,284.224,282.741,281.795,281.533,281.398,280.931,280.781,280.618,280.539,280.428,0.01207,99.52,0.0277,280.206,280.168,1
2025-05-28T12:20:00Z,100130,286.75,2.65,56.6,78.5,0.288,65.1,116.3,6.4,284.923,284.864,284.297,282.789,281.767,281.5,281.275,280.919,280.778,280.634,280.535,280.433,0.01207,99.52,0.0277,280.221,280.162,1
2025-05-28T12:30:00Z,100120,286.85,2.42,30.4,78.2,0.294,72.6,122.9,5.5,284.925,284.873,284.368,282.794,281.697,281.473,281.222,280.931,280.741,280.61,280.528,280.385,0.01206,99.56,0.0277,280.24,280.203,1
2025-05-28T12:40:00Z,100150,286.85,2.42,41.6,78.2,0.294,72.6,134.3,6.7,284.857,284.798,284.31,282.657,281.663,281.469,281.222,280.914,280.736,280.616,280.529,280.407,0.01206,99.54,0.0277,280.228,280.185,1
2025-05-28T12:50:00Z,100160,286.55,2.54,49.3,79.7,0.29,72.7,145.7,7.9,284.869,284.715,284.226,282.562,281.607,281.435,281.144,280.923,280.714,280.629,280.534,280.429,0.01207,99.56,0.0277,280.247,280.181,1
2025-05-28T13:00:00Z,100170,286.05,2.54,69.6,83.3,0.29,72.7,139,7,284.893,284.828,284.37,282.643,281.575,281.423,281.074,280.905,280.699,280.614,280.526,280.392,0.01207,99.5,0.0277,280.196,280.154,1
2025-05-28T13:10:00Z,100160,286.05,2.57,97.9,82.5,0.299,69.4,139.6,8.6,284.838,284.754,284.377,282.577,281.571,281.447,281.059,280.894,280.725,280.617,280.521,280.428,0.01209,99.83,0.0277,280.247,280.225,1
2025-05-28T13:20:00Z,100160,285.85,2.57,101.4,85.1,0.299,69.4,149.7,4.2,284.84,284.641,284.264,282.544,281.573,281.414,281.008,280.89,280.737,280.615,280.521,280.432,0.01207,99.57,0.02769,280.206,280.163,1
2025-05-28T13:30:00Z,100170,285.85,2.47,127.3,85.1,0.333,71.9,130,7.7,284.799,284.743,284.59,282.58,281.61,281.435,281.113,280.887,280.77,280.645,280.521,280.456,0.01211,100.24,0.0277,280.342,280.311,1
2025-05-28T13:40:00Z,100150,285.75,2.47,86.9,85.7,0.333,71.9,127.8,6.9,284.859,284.671,284.413,282.613,281.631,281.435,281.059,280.892,280.775,280.644,280.523,280.454,0.01212,100.25,0.0277,280.338,280.288,1
2025-05-28T13:50:00Z,100160,285.85,2.48,103.7,84.2,0.355,67.7,129.7,6.9,284.835,284.776,284.502,282.635,281.577,281.44,280.97,280.889,280.78,280.638,280.525,280.427,0.01213,100.26,0.0277,280.3,280.256,1
2025-05-28T14:00:00Z,100160,285.95,2.48,133.8,84.1,0.355,67.7,142.4,7.2,284.826,284.724,284.545,282.546,281.539,281.385,280.948,280.884,280.766,280.639,280.528,280.454,0.01212,100.2,0.0277,280.325,280.272,1
2025-05-28T14:10:00Z,100140,285.95,2.85,164,85.2,0.385,65.2,125.5,5.9,284.824,284.698,284.498,282.351,281.537,281.388,280.965,280.881,280.784,280.644,280.529,280.429,0.01213,100.22,0.0277,280.275,280.242,1
2025-05-28T14:20:00Z,100150,285.85,2.85,139.6,86.9,0.385,65.2,141.4,4.9,284.828,284.755,284.498,282.286,281.471,281.316,280.915,280.875,280.769,280.641,280.532,280.381,0.01212,99.96,0.0277,280.193,280.158,1
2025-05-28T14:30:00Z,100120,285.75,2.46,128.5,87.3,0.384,68.7,112.3,5.9,284.796,284.69,284.339,282.193,281.423,281.308,280.953,280.872,280.78,280.63,280.524,280.381,0.01214,100.1,0.0277,280.194,280.156,1
2025-05-28T14:40:00Z,100120,285.65,2.46,103.7,88,0.384,68.7,115.4,5.7,284.86,284.773,284.187,282.279,281.494,281.269,280.976,280.869,280.781,280.618,280.526,280.345,0.01214,100.01,0.0277,280.188,280.125,1
2025-05-28T14:50:00Z,100120,285.55,3.11,80.1,89.8,0.378,57.7,96.7,6,284.836,284.789,284.229,282.265,281.474,281.313,280.982,280.863,280.781,280.614,280.527,280.387,0.01215,100.1,0.0277,280.188,280.134,1
2025-05-28T15:00:00Z,100120,285.55,3.11,111.9,90.7,0.378,57.7,111.8,5.9,284.874,284.726,284.064,282.207,281.488,281.218,280.981,280.866,280.779,280.604,280.519,280.27,0.0121,99.6,0.0277,280.12,280.075,1
2025-05-28T15:10:00Z,100120,285.55,3.16,134.1,90.2,0.409,56.3,112.7,5.3,284.85,284.803,284.358,282.169,281.491,281.286,280.962,280.864,280.766,280.591,280.51,280.22,0.0121,99.46,0.0277,280.093,280.044,1
2025-05-28T15:20:00Z,100120,285.55,3.16,136.2,91.3,0.409,56.3,124.3,5.3,284.86,284.708,284.391,282.209,281.57,281.223,280.959,280.86,280.779,280.578,280.511,280.262,0.01212,99.76,0.0277,280.11,280.074,1
2025-05-28T15:30:00Z,100120,285.55,3.15,126.1,91.5,0.373,54.8,114.3,4.6,284.88,284.73,284.171,282.296,281.55,281.257,280.967,280.861,280.793,280.643,280.509,280.237,0.01211,99.58,0.0277,280.091,280.035,1
2025-05-28T15:40:00Z,100120,285.75,3.15,170.1,90.8,0.373,54.8,111.7,5.3,284.875,284.838,283.899,282.214,281.535,281.216,280.933,280.85,280.784,280.67,280.513,280.304,0.01214,99.86,0.0277,280.099,280.073,1
2025-05-28T15:50:00Z,100130,285.75,3.14,268.7,92,0.378,51.8,123.3,5.2,284.892,284.799,284.514,282.291,281.601,281.246,280.956,280.849,280.768,280.64,280.503,280.197,0.0121,99.32,0.0277,280.028,279.976,1
2025-05-28T16:00:00Z,100130,285.95,3.14,173,90.7,0.378,51.8,104.1,4.9,284.854,284.76,284.185,282.296,281.496,281.203,280.931,280.837,280.738,280.532,280.475,280.067,0.01211,99.28,0.02771,279.987,279.926,1
